full_text,sentiment
kemaren nonton exhuma setuju review moots2ku kl filmnya gak serem feeling gak nyaman terussss nonton tuh berasa capeknya gatau brp menghela napas 2 jam nonton,negative
semalem nonton exhuma nonton baiknya baca2 review jelasin jg sejarah jeoang korea pasak rubah harimau dkk ga serem hantu2 gmn tegang mah lee hyun 7 10,positive
review singkat exhuma 2024 7 5 10 rekomen temen temen nyari film horror slowburn minim jumpscare,positive
review film horor exhuma tau medsos gw kebayang2 predesesornya wailing gw males nontonya khawatir plot muntir2 capek wkwkw nonton film beda tipe film horor kesukaan gw,negative
tergantung filmnya exhuma liat review 4d seru tempatku ga pake kacamata layarnya 2d takutnya over react lumayan 90rebu hehehe,positive
fans exhuma alay review kecewa ngatain fomo ngga ngerti so we re not allowed have personal opinion now,negative
kadang suka lucu liat org review film susah ditemuin cacat ga cmn exhuma nonton enjoy film kesalahan lgsg catet inget2 rispek standar dlm nentuin bagus ngga film wk wk wk,neutral
plis review film exhuma lupa jujur ga nonton film,neutral
nyokap mager nonton bioskop liat exhuma bener2 fokus sampe fokus dengerin review sejarahnya baca wkwk keren,positive
review nonton exhuma kalinya uda ga takut kaya kaki gemeter dikit teori kebuka jd ga bingung lg,positive
hmm review exhuma barusan rame kurang update,negative
review choi san film exhuma penakut sampe gamau nonton saranin nonton beneran gak takut kerasa takutnya gak nutup mata nonton intinya serem gaes,negative
review exhuma menurutku rating menurutku 9 10 d 1 main suara bgm 2 alurnya lumayan ruwet dimasak yaaa bagus 3 jumpscare lumayan ngagetin 4 plot hole akunya ga fokus ac cgv merinding alias dingin,positive
review film exhuma seru jujur suka korea trus suka horror jg 9 10 sihh trus better sblm nnton kepoin tuh sinopsisnya penjelasan latarnya biar nangkep isi filmnya jg enak,positive
mirrr laporan review exhuma 4d kerennnnnnnn,positive
tengok review exhuma de jumpscare lahhh nyahhh tengok je,negative
55555 review exhuma terkocak akal,positive
maunya ketebak lahiran kubur gentayangan ending tunggu review exhuma,neutral
bintang 5 ternganga film my review exhuma on letterboxd,positive
exhuma 2024 luka sembuh bekasnya review,neutral
tunggu nonton exhuma review,neutral
